BHID,XCOLLAR,YCOLLAR,ZCOLLAR,LENGTH
0,32.04177423198923,0.0,111.5300218459625,112.24910166146213
1,52.83811808448224,0.0,114.3028676929616,108.95326588216238
10,7.255336758068556,50.0,104.7489244446148,113.21575559332788
11,27.35866569188352,50.0,110.9461912587983,123.8232908548579
12,49.42698166434204,50.0,112.1554140518098,114.42526898564972
13,69.37915774903057,50.0,109.7369684657869,98.43316527616058
14,92.35439081624766,50.0,103.0862431042241,98.94025234272263
15,114.8761653360855,50.0,101.5747146129598,76.74996830825941
16,136.0375642137854,50.0,103.6908545007298,75.96361852601979
17,156.1408931476004,50.0,105.2023829919941,67.21952210096217
18,6.882463107840661,100.0,90.41667220104398,98.34360768678252
19,22.9415436928022,100.0,94.87003068258794,90.72333381399885
2,17.5613570309941,0.0,105.8302831604644,98.05840963605996
20,38.32587299268133,100.0,99.72823993518135,86.80920431071739
21,59.51306334426925,100.0,104.5864491877747,99.17700908466712
22,76.78669624237914,100.0,105.3961507298737,97.09908213109969
23,98.24378710800002,100.0,108.7699071552857,83.71656202107245
24,122.6697836279835,100.0,113.4931661508627,90.15553196074615
25,141.4278693532748,100.0,111.4689122956154,94.51828373847067
26,160.4558555925989,100.0,108.7699071552857,79.81150024108702
27,7.287313878890112,150.0,81.37500498093958,81.61446033810715
28,20.64738932352198,150.0,86.77301526159893,74.51342820328266
29,38.19092273566484,150.0,89.06716963087915,63.19039535493776
3,4.313315761998551,0.0,99.51435650896656,89.48117946563569
30,54.51990383465935,150.0,88.25746808878024,57.99139467431097
31,72.33333776083518,150.0,88.79726911684618,52.29645095074923
32,89.47202040192859,150.0,93.79042862645606,55.12601452482071
33,106.4757527860055,150.0,97.83893633695057,65.5740778393239
34,123.8843359411319,150.0,102.2922948184945,61.56458312730076
35,142.5074714094066,150.0,102.0223943044616,54.086732040750675
36,161.4005073917143,150.0,100.5379414772802,49.42999736640556
37,6.477612336791211,200.0,80.97015420989013,69.09843776382716
38,21.72699137965385,200.0,86.77301526159893,70.27989585763322
39,38.32587299268133,200.0,86.0982639765165,60.9666223563856
4,69.16709918347675,0.0,109.989551930963,99.13204505167815
40,53.03545100747804,200.0,78.81095009762639,46.842025096937874
41,68.68968082139013,200.0,77.46144752746156,40.688145835128125
42,82.31965678005497,200.0,76.38184547132968,28.276377677463074
43,97.43408556590113,200.0,78.81095009762639,33.85073266542157
44,115.3824697490934,200.0,81.50995523795606,36.009219889628625
45,132.6561026472033,200.0,86.36816449054947,39.85033333562803
46,152.8986411996759,200.0,88.52736860281321,36.8263402190187
47,169.9023735837528,200.0,88.52736860281321,33.26790714204341
5,89.65534905296987,0.0,96.89555765346743,75.85276008651469
6,125.3942510809579,0.0,93.50652384046857,67.88057406768766
7,160.516965142946,0.0,103.2114843049653,73.74419429602563
8,142.4934671374521,0.0,95.97127570446774,64.91237535404717
9,108.7571759989634,0.0,92.42819489996893,64.11119464045787
